"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.util.SequencedCollection","366","278","0","0.0","0","66480","0.99","691"
"org.openrewrite.java.migrate.UpgradePluginsForJava21","366","278","0","0.0","0","64800","0.99","13555"
"org.openrewrite.java.migrate.CastArraysAsListToList","366","278","0","0.0","0","4321314","0.99","3668736"
"org.openrewrite.java.migrate.javax.AddJaxbDependencies","366","278","0","0.0","0","75341","0.99","1011"
"org.openrewrite.java.migrate.JREWrapperInterface","366","278","0","0.0","0","23078","0.99","962"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketSetTTLToSetTimeToLive","366","278","0","0.0","0","701097","0.99","45937"
"org.openrewrite.java.migrate.UpgradeBuildToJava21","366","278","0","0.0","0","25821","0.99","482"
"org.openrewrite.maven.UpgradePluginVersion","4758","278","0","0.0","0","213557121","0.99","178743239"
"org.openrewrite.java.migrate.UpgradePluginsForJava17","366","278","0","0.0","0","33400","0.99","601"
"org.openrewrite.java.migrate.UpgradePluginsForJava11","366","278","0","0.0","0","67980","0.99","1383"
"org.openrewrite.java.migrate.util.OptionalStreamRecipe","366","278","0","0.0","0","360206","0.99","7776"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate","366","278","0","0.0","0","28485","0.99","901"
"org.openrewrite.java.migrate.Java8toJava11","366","278","0","0.0","0","24689","0.99","872"
"org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError","366","278","0","0.0","0","11111498","0.99","7814705"
"org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod","366","278","0","0.0","0","803044","0.99","48582"
"com.oracle.weblogic.rewrite.jakarta.FacesJNDINamesChanged3","366","278","0","0.0","0","73173","0.99","34426"
"org.openrewrite.java.migrate.jakarta.JavaxResourceToJakartaResource","366","278","0","0.0","0","23985","0.99","351"
"org.openrewrite.java.migrate.lang.ExplicitRecordImport","366","278","0","0.0","0","203339510","0.99","52308878"
"org.openrewrite.scala.migrate.UpgradeScala_2_12","366","278","0","0.0","0","45823","0.99","1061"
"org.openrewrite.java.migrate.jakarta.JavaxPersistenceXmlToJakartaPersistenceXml","366","278","0","0.0","0","43521","0.99","682"
"org.openrewrite.java.migrate.jakarta.RemovedUIComponentConstant","366","278","0","0.0","0","35989","0.99","622"
"org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors","366","278","0","0.0","0","35488","0.99","811"
"org.openrewrite.java.DeleteMethodArgument","1464","278","0","0.0","0","4105922","0.99","1941596"
"org.openrewrite.xml.RemoveXmlTag","366","278","0","0.0","0","19379757","0.99","7010744"
"org.openrewrite.java.migrate.javax.JavaxXmlStreamAPIs","366","278","0","0.0","0","41319","0.99","962"
"org.openrewrite.java.migrate.RemovedSecurityManagerMethods","366","278","0","0.0","0","66809693","0.99","15763975"
"org.openrewrite.maven.RemoveManagedDependency","732","278","0","0.0","0","3643018","0.99","2403091"
"org.openrewrite.java.migrate.RemovedToolProviderConstructor","366","278","0","0.0","0","48718","0.99","822"
"org.openrewrite.java.migrate.MXBeanRule","366","278","0","0.0","0","77126517","0.99","9432348"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongArrayWeakCompareAndSetToWeakCompareAndSetPlain","366","278","0","0.0","0","42970","0.99","892"
"org.openrewrite.java.migrate.RemovedRuntimeTraceMethods","366","278","0","0.0","0","86605","0.99","1363"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain","366","278","0","0.0","0","42072","0.99","862"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMinorToInterim","366","278","0","0.0","0","29688","0.99","1061"
"org.openrewrite.java.migrate.jakarta.EhcacheJavaxToJakarta","366","278","0","0.0","0","74313","0.99","831"
"org.openrewrite.staticanalysis.ReplaceDeprecatedRuntimeExecMethods","366","278","0","0.0","0","93789010","0.99","11012670"
"org.openrewrite.java.RemoveMethodInvocations","4026","278","0","0.0","0","11322818","0.99","618701"
"org.openrewrite.java.migrate.DeprecatedLogRecordThreadID","366","278","0","0.0","0","37363","0.99","782"
"com.oracle.weblogic.rewrite.jakarta.JavaxBeansXmlToJakarta9BeansXml","366","278","0","0.0","0","46297","0.99","861"
"org.openrewrite.java.migrate.jakarta.JavaxJsonToJakartaJson","366","278","0","0.0","0","41450","0.99","821"
"com.oracle.weblogic.rewrite.jakarta.JavaxToJakartaCdiExtensions","366","278","0","0.0","0","132036","0.99","18966"
